trajectory,step,mode,group_size,rmse_vs_full_bf16
fox2026,1,Hybrid,0,0.000454224
fox2026,1,Row-wise,0,0.000355802
fox2026,1,G1024,1024,0.000401426
fox2026,1,G128,128,0.000374592
fox2026,2,Hybrid,0,0.000658937
fox2026,2,Row-wise,0,0.000604866
fox2026,2,G1024,1024,0.000622574
fox2026,2,G128,128,0.000710240
fox2026,3,Hybrid,0,0.000860116
fox2026,3,Row-wise,0,0.000976768
fox2026,3,G1024,1024,0.000903360
fox2026,3,G128,128,0.001139004
fox2026,4,Hybrid,0,0.001358734
fox2026,4,Row-wise,0,0.001537247
fox2026,4,G1024,1024,0.001370342
fox2026,4,G128,128,0.001706356
fox2026,5,Hybrid,0,0.001893683
fox2026,5,Row-wise,0,0.002028849
fox2026,5,G1024,1024,0.001784075
fox2026,5,G128,128,0.002579518
fox2026,6,Hybrid,0,0.003043170
fox2026,6,Row-wise,0,0.003223188
fox2026,6,G1024,1024,0.002491041
fox2026,6,G128,128,0.004062843
fox2026,7,Hybrid,0,0.004693766
fox2026,7,Row-wise,0,0.004973343
fox2026,7,G1024,1024,0.003410405
fox2026,7,G128,128,0.006115877
fox2026,8,Hybrid,0,0.006690063
fox2026,8,Row-wise,0,0.007619544
fox2026,8,G1024,1024,0.004856720
fox2026,8,G128,128,0.007874071
fox2026,9,Hybrid,0,0.011300684
fox2026,9,Row-wise,0,0.012983272
fox2026,9,G1024,1024,0.008311060
fox2026,9,G128,128,0.009004294
fox2026,10,Hybrid,0,0.017103229
fox2026,10,Row-wise,0,0.019276488
fox2026,10,G1024,1024,0.011643394
fox2026,10,G128,128,0.011032181
fox2026,11,Hybrid,0,0.023987689
fox2026,11,Row-wise,0,0.026688676
fox2026,11,G1024,1024,0.014406345
fox2026,11,G128,128,0.013784948
fox2026,12,Hybrid,0,0.032849314
fox2026,12,Row-wise,0,0.035356829
fox2026,12,G1024,1024,0.017589062
fox2026,12,G128,128,0.017612935
fox2026,13,Hybrid,0,0.043357951
fox2026,13,Row-wise,0,0.046075634
fox2026,13,G1024,1024,0.022502898
fox2026,13,G128,128,0.022980490
fox2026,14,Hybrid,0,0.056497845
fox2026,14,Row-wise,0,0.059233485
fox2026,14,G1024,1024,0.029010297
fox2026,14,G128,128,0.029785445
fox2026,15,Hybrid,0,0.073656439
fox2026,15,Row-wise,0,0.076609630
fox2026,15,G1024,1024,0.038097795
fox2026,15,G128,128,0.039616411
fox2026,16,Hybrid,0,0.097217188
fox2026,16,Row-wise,0,0.100644448
fox2026,16,G1024,1024,0.050866697
fox2026,16,G128,128,0.053670921
fox2026,17,Hybrid,0,0.131669290
fox2026,17,Row-wise,0,0.135808473
fox2026,17,G1024,1024,0.069959868
fox2026,17,G128,128,0.075140857
fox2026,18,Hybrid,0,0.186070762
fox2026,18,Row-wise,0,0.191399808
fox2026,18,G1024,1024,0.100654129
fox2026,18,G128,128,0.109922696
fox2026,19,Hybrid,0,0.285778315
fox2026,19,Row-wise,0,0.292526767
fox2026,19,G1024,1024,0.158310151
fox2026,19,G128,128,0.176067920
fox2026,20,Hybrid,0,0.517687127
fox2026,20,Row-wise,0,0.526883598
fox2026,20,G1024,1024,0.300797794
fox2026,20,G128,128,0.337103975
sky100,1,Hybrid,0,0.000224693
sky100,1,Row-wise,0,0.000231407
sky100,1,G1024,1024,0.000281540
sky100,1,G128,128,0.000196254
sky100,2,Hybrid,0,0.000411927
