prompt,seed,steps,mode,step,sigma_video,delta_sigma_video,rmse_vs_bf16,relative_rmse_vs_bf16,growth_vs_previous,rmse_ratio_vs_row
fox,2026,20,Row-wise,1,1.000000,0.004367,0.000258,0.000259,,1.0000
fox,2026,20,G128,1,1.000000,0.004367,0.000343,0.000345,,1.3309
fox,2026,20,Row-wise,2,0.995633,0.004808,0.000396,0.000399,1.5326,1.0000
fox,2026,20,G128,2,0.995633,0.004808,0.000418,0.000422,1.2175,1.0573
fox,2026,20,Row-wise,3,0.990826,0.005318,0.000611,0.000619,1.5437,1.0000
fox,2026,20,G128,3,0.990826,0.005318,0.000603,0.000611,1.4427,0.9882
fox,2026,20,Row-wise,4,0.985507,0.005915,0.000726,0.000740,1.1890,1.0000
fox,2026,20,G128,4,0.985507,0.005915,0.000793,0.000808,1.3141,1.0922
fox,2026,20,Row-wise,5,0.979592,0.006619,0.001082,0.001111,1.4908,1.0000
fox,2026,20,G128,5,0.979592,0.006619,0.001285,0.001319,1.6214,1.1878
fox,2026,20,Row-wise,6,0.972973,0.007456,0.001671,0.001727,1.5439,1.0000
fox,2026,20,G128,6,0.972973,0.007456,0.002016,0.002085,1.5687,1.2069
fox,2026,20,Row-wise,7,0.965517,0.008462,0.002406,0.002508,1.4399,1.0000
fox,2026,20,G128,7,0.965517,0.008462,0.003156,0.003291,1.5651,1.3119
fox,2026,20,Row-wise,8,0.957055,0.009687,0.003920,0.004127,1.6295,1.0000
fox,2026,20,G128,8,0.957055,0.009687,0.005604,0.005900,1.7757,1.4296
fox,2026,20,Row-wise,9,0.947368,0.011198,0.005494,0.005848,1.4014,1.0000
fox,2026,20,G128,9,0.947368,0.011198,0.009185,0.009777,1.6389,1.6719
fox,2026,20,Row-wise,10,0.936170,0.013093,0.006880,0.007418,1.2523,1.0000
fox,2026,20,G128,10,0.936170,0.013093,0.014370,0.015494,1.5646,2.0887
fox,2026,20,Row-wise,11,0.923077,0.015514,0.008588,0.009400,1.2482,1.0000
fox,2026,20,G128,11,0.923077,0.015514,0.020648,0.022600,1.4368,2.4043
fox,2026,20,Row-wise,12,0.907563,0.018674,0.010279,0.011454,1.1970,1.0000
fox,2026,20,G128,12,0.907563,0.018674,0.028793,0.032084,1.3944,2.8010
fox,2026,20,Row-wise,13,0.888889,0.022910,0.012928,0.014720,1.2577,1.0000
fox,2026,20,G128,13,0.888889,0.022910,0.038284,0.043592,1.3296,2.9614
fox,2026,20,Row-wise,14,0.865979,0.028770,0.015956,0.018655,1.2342,1.0000
fox,2026,20,G128,14,0.865979,0.028770,0.050012,0.058471,1.3064,3.1344
fox,2026,20,Row-wise,15,0.837209,0.037209,0.020354,0.024589,1.2756,1.0000
fox,2026,20,G128,15,0.837209,0.037209,0.065295,0.078880,1.3056,3.2080
fox,2026,20,Row-wise,16,0.800000,0.050000,0.026880,0.033818,1.3206,1.0000
fox,2026,20,G128,16,0.800000,0.050000,0.086436,0.108745,1.3238,3.2156
fox,2026,20,Row-wise,17,0.750000,0.070755,0.036617,0.048345,1.3622,1.0000
fox,2026,20,G128,17,0.750000,0.070755,0.117533,0.155179,1.3598,3.2098
fox,2026,20,Row-wise,18,0.679245,0.107817,0.051734,0.071453,1.4129,1.0000
fox,2026,20,G128,18,0.679245,0.107817,0.166907,0.230524,1.4201,3.2262
fox,2026,20,Row-wise,19,0.571429,0.184332,0.079677,0.107713,1.5401,1.0000
fox,2026,20,G128,19,0.571429,0.184332,0.257911,0.348664,1.5452,3.2370
fox,2026,20,Row-wise,20,0.387097,0.387097,0.144162,0.142384,1.8093,1.0000
fox,2026,20,G128,20,0.387097,0.387097,0.472957,0.467125,1.8338,3.2807
