prompt,seed,steps,experiment,injection_step,step,sigma_video,delta_sigma_video,rmse_vs_bf16,growth_vs_previous
fox,2026,20,single_step_injection,1,1,1.000000,0.004367,0.000343,
fox,2026,20,single_step_injection,1,2,0.995633,0.004808,0.000393,1.1432
fox,2026,20,single_step_injection,1,3,0.990826,0.005318,0.000540,1.3753
fox,2026,20,single_step_injection,1,4,0.985507,0.005915,0.000694,1.2853
fox,2026,20,single_step_injection,1,5,0.979592,0.006619,0.000962,1.3865
fox,2026,20,single_step_injection,1,6,0.972973,0.007456,0.001595,1.6577
fox,2026,20,single_step_injection,1,7,0.965517,0.008462,0.002488,1.5593
fox,2026,20,single_step_injection,1,8,0.957055,0.009687,0.003360,1.3509
fox,2026,20,single_step_injection,1,9,0.947368,0.011198,0.004897,1.4573
fox,2026,20,single_step_injection,1,10,0.936170,0.013093,0.008908,1.8191
fox,2026,20,single_step_injection,1,11,0.923077,0.015514,0.015479,1.7376
fox,2026,20,single_step_injection,1,12,0.907563,0.018674,0.022888,1.4786
fox,2026,20,single_step_injection,1,13,0.888889,0.022910,0.031620,1.3815
fox,2026,20,single_step_injection,1,14,0.865979,0.028770,0.042389,1.3406
fox,2026,20,single_step_injection,1,15,0.837209,0.037209,0.056664,1.3368
fox,2026,20,single_step_injection,1,16,0.800000,0.050000,0.076541,1.3508
fox,2026,20,single_step_injection,1,17,0.750000,0.070755,0.106062,1.3857
fox,2026,20,single_step_injection,1,18,0.679245,0.107817,0.153218,1.4446
fox,2026,20,single_step_injection,1,19,0.571429,0.184332,0.241018,1.5730
fox,2026,20,single_step_injection,1,20,0.387097,0.387097,0.450120,1.8676
fox,2026,20,single_step_injection,5,1,1.000000,0.004367,0.000000,
fox,2026,20,single_step_injection,5,2,0.995633,0.004808,0.000000,
fox,2026,20,single_step_injection,5,3,0.990826,0.005318,0.000000,
fox,2026,20,single_step_injection,5,4,0.985507,0.005915,0.000000,
fox,2026,20,single_step_injection,5,5,0.979592,0.006619,0.000776,
fox,2026,20,single_step_injection,5,6,0.972973,0.007456,0.001377,1.7743
fox,2026,20,single_step_injection,5,7,0.965517,0.008462,0.002122,1.5406
fox,2026,20,single_step_injection,5,8,0.957055,0.009687,0.003589,1.6916
fox,2026,20,single_step_injection,5,9,0.947368,0.011198,0.007170,1.9976
fox,2026,20,single_step_injection,5,10,0.936170,0.013093,0.013057,1.8210
fox,2026,20,single_step_injection,5,11,0.923077,0.015514,0.019515,1.4946
fox,2026,20,single_step_injection,5,12,0.907563,0.018674,0.027610,1.4148
fox,2026,20,single_step_injection,5,13,0.888889,0.022910,0.037148,1.3454
fox,2026,20,single_step_injection,5,14,0.865979,0.028770,0.048962,1.3180
fox,2026,20,single_step_injection,5,15,0.837209,0.037209,0.064297,1.3132
fox,2026,20,single_step_injection,5,16,0.800000,0.050000,0.085543,1.3304
fox,2026,20,single_step_injection,5,17,0.750000,0.070755,0.116874,1.3663
fox,2026,20,single_step_injection,5,18,0.679245,0.107817,0.166488,1.4245
fox,2026,20,single_step_injection,5,19,0.571429,0.184332,0.257533,1.5469
fox,2026,20,single_step_injection,5,20,0.387097,0.387097,0.472108,1.8332
fox,2026,20,single_step_injection,10,1,1.000000,0.004367,0.000000,
fox,2026,20,single_step_injection,10,2,0.995633,0.004808,0.000000,
fox,2026,20,single_step_injection,10,3,0.990826,0.005318,0.000000,
fox,2026,20,single_step_injection,10,4,0.985507,0.005915,0.000000,
fox,2026,20,single_step_injection,10,5,0.979592,0.006619,0.000000,
fox,2026,20,single_step_injection,10,6,0.972973,0.007456,0.000000,
fox,2026,20,single_step_injection,10,7,0.965517,0.008462,0.000000,
fox,2026,20,single_step_injection,10,8,0.957055,0.009687,0.000000,
fox,2026,20,single_step_injection,10,9,0.947368,0.011198,0.000000,
fox,2026,20,single_step_injection,10,10,0.936170,0.013093,0.001133,
fox,2026,20,single_step_injection,10,11,0.923077,0.015514,0.001630,1.4384
fox,2026,20,single_step_injection,10,12,0.907563,0.018674,0.002425,1.4875
fox,2026,20,single_step_injection,10,13,0.888889,0.022910,0.003426,1.4130
fox,2026,20,single_step_injection,10,14,0.865979,0.028770,0.004560,1.3312
fox,2026,20,single_step_injection,10,15,0.837209,0.037209,0.006353,1.3930
fox,2026,20,single_step_injection,10,16,0.800000,0.050000,0.009568,1.5061
fox,2026,20,single_step_injection,10,17,0.750000,0.070755,0.015001,1.5679
fox,2026,20,single_step_injection,10,18,0.679245,0.107817,0.023421,1.5613
fox,2026,20,single_step_injection,10,19,0.571429,0.184332,0.039046,1.6672
fox,2026,20,single_step_injection,10,20,0.387097,0.387097,0.077245,1.9783
fox,2026,20,single_step_injection,15,1,1.000000,0.004367,0.000000,
fox,2026,20,single_step_injection,15,2,0.995633,0.004808,0.000000,
fox,2026,20,single_step_injection,15,3,0.990826,0.005318,0.000000,
fox,2026,20,single_step_injection,15,4,0.985507,0.005915,0.000000,
fox,2026,20,single_step_injection,15,5,0.979592,0.006619,0.000000,
fox,2026,20,single_step_injection,15,6,0.972973,0.007456,0.000000,
fox,2026,20,single_step_injection,15,7,0.965517,0.008462,0.000000,
fox,2026,20,single_step_injection,15,8,0.957055,0.009687,0.000000,
fox,2026,20,single_step_injection,15,9,0.947368,0.011198,0.000000,
fox,2026,20,single_step_injection,15,10,0.936170,0.013093,0.000000,
fox,2026,20,single_step_injection,15,11,0.923077,0.015514,0.000000,
fox,2026,20,single_step_injection,15,12,0.907563,0.018674,0.000000,
fox,2026,20,single_step_injection,15,13,0.888889,0.022910,0.000000,
fox,2026,20,single_step_injection,15,14,0.865979,0.028770,0.000000,
fox,2026,20,single_step_injection,15,15,0.837209,0.037209,0.002094,
fox,2026,20,single_step_injection,15,16,0.800000,0.050000,0.004696,2.2423
fox,2026,20,single_step_injection,15,17,0.750000,0.070755,0.009832,2.0935
fox,2026,20,single_step_injection,15,18,0.679245,0.107817,0.016988,1.7279
fox,2026,20,single_step_injection,15,19,0.571429,0.184332,0.029424,1.7320
fox,2026,20,single_step_injection,15,20,0.387097,0.387097,0.059439,2.0201
fox,2026,20,single_step_injection,18,1,1.000000,0.004367,0.000000,
fox,2026,20,single_step_injection,18,2,0.995633,0.004808,0.000000,
fox,2026,20,single_step_injection,18,3,0.990826,0.005318,0.000000,
fox,2026,20,single_step_injection,18,4,0.985507,0.005915,0.000000,
fox,2026,20,single_step_injection,18,5,0.979592,0.006619,0.000000,
fox,2026,20,single_step_injection,18,6,0.972973,0.007456,0.000000,
fox,2026,20,single_step_injection,18,7,0.965517,0.008462,0.000000,
fox,2026,20,single_step_injection,18,8,0.957055,0.009687,0.000000,
fox,2026,20,single_step_injection,18,9,0.947368,0.011198,0.000000,
fox,2026,20,single_step_injection,18,10,0.936170,0.013093,0.000000,
fox,2026,20,single_step_injection,18,11,0.923077,0.015514,0.000000,
fox,2026,20,single_step_injection,18,12,0.907563,0.018674,0.000000,
fox,2026,20,single_step_injection,18,13,0.888889,0.022910,0.000000,
fox,2026,20,single_step_injection,18,14,0.865979,0.028770,0.000000,
fox,2026,20,single_step_injection,18,15,0.837209,0.037209,0.000000,
fox,2026,20,single_step_injection,18,16,0.800000,0.050000,0.000000,
fox,2026,20,single_step_injection,18,17,0.750000,0.070755,0.000000,
fox,2026,20,single_step_injection,18,18,0.679245,0.107817,0.003621,
fox,2026,20,single_step_injection,18,19,0.571429,0.184332,0.006686,1.8463
fox,2026,20,single_step_injection,18,20,0.387097,0.387097,0.016108,2.4091
