level,prompt,steps,seed,block,mode,group_size,rmse,mae,max_abs_err,cosine,rel_frob_err,psnr_db,ssim_all,ssim_y
weight,,,,0,Row-wise,0,0.001166,0.000965,0.007288,0.99989627,0.01440474,,,
weight,,,,0,G1024,1024,0.000913,0.000758,0.007271,0.99993638,0.01128054,,,
weight,,,,0,G512,512,0.00079,0.000645,0.007263,0.99995233,0.00976446,,,
weight,,,,0,G256,256,0.000641,0.000504,0.007259,0.99996866,0.00791805,,,
weight,,,,0,G128,128,0.000524,0.0004,0.007251,0.99997908,0.00646904,,,
weight,,,,9,Row-wise,0,0.00146,0.001224,0.007038,0.99993086,0.01176004,,,
weight,,,,9,G1024,1024,0.001169,0.00097,0.007032,0.99995565,0.00941907,,,
weight,,,,9,G512,512,0.001049,0.000865,0.007032,0.9999643,0.00844991,,,
weight,,,,9,G256,256,0.000909,0.000742,0.007028,0.9999732,0.00732187,,,
weight,,,,9,G128,128,0.000803,0.000648,0.00689,0.9999791,0.00646588,,,
weight,,,,24,Row-wise,0,0.001578,0.001327,0.007689,0.99994019,0.01093784,,,
weight,,,,24,G1024,1024,0.001247,0.001039,0.00766,0.99996264,0.00864452,,,
weight,,,,24,G512,512,0.001147,0.000953,0.007659,0.9999684,0.00795095,,,
weight,,,,24,G256,256,0.001039,0.000859,0.007659,0.99997404,0.00720571,,,
weight,,,,24,G128,128,0.000933,0.000765,0.007659,0.9999791,0.00646517,,,
weight,,,,39,Row-wise,0,0.002106,0.0018,0.018086,0.99994595,0.0103972,,,
weight,,,,39,G1024,1024,0.001736,0.001481,0.018086,0.9999633,0.00856834,,,
weight,,,,39,G512,512,0.001599,0.001361,0.018086,0.99996886,0.00789179,,,
weight,,,,39,G256,256,0.00146,0.001237,0.018086,0.99997402,0.00720847,,,
weight,,,,39,G128,128,0.00131,0.001099,0.018086,0.9999791,0.0064649,,,
weight,,,,49,Row-wise,0,0.002365,0.001977,0.016479,0.99991785,0.01281907,,,
weight,,,,49,G1024,1024,0.001871,0.001563,0.016455,0.9999486,0.0101398,,,
weight,,,,49,G512,512,0.001652,0.001364,0.016455,0.99995991,0.00895503,,,
weight,,,,49,G256,256,0.001449,0.001178,0.016455,0.99996918,0.00785101,,,
weight,,,,49,G128,128,0.001193,0.000932,0.016455,0.9999791,0.00646592,,,
block0_output,fox,4,42,0,Row-wise,0,0.223459,0.03413,128.0,0.99998852,0.00480988,,,
block0_output,fox,4,42,0,G1024,1024,0.210564,0.032438,128.0,0.99998993,0.00453231,,,
block0_output,fox,4,42,0,G512,512,0.222744,0.031938,256.0,0.99998851,0.00479447,,,
block0_output,fox,4,42,0,G256,256,0.2192,0.031395,256.0,0.99998887,0.00471821,,,
block0_output,fox,4,42,0,G128,128,0.213524,0.031608,128.0,0.99998947,0.00459602,,,
block49_output,fox,4,42,49,Row-wise,0,433.829585,291.402233,173056.0,0.99829398,0.05838799,,,
block49_output,fox,4,42,49,G1024,1024,417.780287,281.718073,122112.0,0.99841846,0.05622796,,,
block49_output,fox,4,42,49,G512,512,399.969843,274.633617,40960.0,0.99855112,0.0538309,,,
block49_output,fox,4,42,49,G256,256,458.240949,309.480717,165632.0,0.9980967,0.06167345,,,
block49_output,fox,4,42,49,G128,128,417.260187,279.432027,91136.0,0.99842392,0.05615796,,,
video,fox,4,42,,Row-wise,0,,,,,,23.695,0.87777,0.825502
video,fox,4,42,,G1024,1024,,,,,,25.268,0.878152,0.825588
video,fox,4,42,,G512,512,,,,,,23.044,0.855908,0.79569
video,fox,4,42,,G256,256,,,,,,24.287,0.847419,0.781053
video,fox,4,42,,G128,128,,,,,,22.166,0.851027,0.787796
video,skyscraper,4,42,,Row-wise,0,,,,,,25.11,0.743412,0.642545
video,skyscraper,4,42,,G1024,1024,,,,,,22.186,0.694936,0.577823
video,skyscraper,4,100,,Row-wise,0,,,,,,22.24,0.649141,0.540289
video,skyscraper,4,100,,G1024,1024,,,,,,21.783,0.655042,0.555349
video,portrait,4,42,,Row-wise,0,,,,,,35.733,0.977152,0.969087
video,portrait,4,42,,G1024,1024,,,,,,37.617,0.982317,0.976582
video,hallway,4,42,,Row-wise,0,,,,,,21.752,0.893002,0.8465
video,hallway,4,42,,G1024,1024,,,,,,22.418,0.912359,0.875098
video,fox,20,42,,Row-wise,0,,,,,,28.723,0.968437,
video,fox,20,42,,G1024,1024,,,,,,34.252,0.976202,
video,fox,20,42,,G128,128,,,,,,33.411,0.974742,
video,fox,20,100,,Row-wise,0,,,,,,29.329,0.94614,
video,fox,20,100,,G1024,1024,,,,,,33.643,0.97434,
video,fox,20,100,,G128,128,,,,,,31.856,0.964865,
video,fox,20,123,,Row-wise,0,,,,,,19.578,0.822865,
video,fox,20,123,,G1024,1024,,,,,,19.796,0.823449,
video,fox,20,123,,G128,128,,,,,,23.911,0.910233,
video,fox,20,777,,Row-wise,0,,,,,,33.532,0.97082,
video,fox,20,777,,G1024,1024,,,,,,32.774,0.967371,
video,fox,20,777,,G128,128,,,,,,31.941,0.960131,
video,fox,20,2026,,Row-wise,0,,,,,,24.73,0.934554,
video,fox,20,2026,,G1024,1024,,,,,,15.218,0.701502,
video,fox,20,2026,,G128,128,,,,,,15.116,0.696638,
video,skyscraper,20,42,,Row-wise,0,,,,,,23.335,0.799724,
video,skyscraper,20,42,,G1024,1024,,,,,,21.018,0.720263,
video,skyscraper,20,42,,G128,128,,,,,,24.46,0.876987,
video,skyscraper,20,100,,Row-wise,0,,,,,,22.285,0.780389,
video,skyscraper,20,100,,G1024,1024,,,,,,23.072,0.820222,
video,skyscraper,20,100,,G128,128,,,,,,23.798,0.83092,
video,skyscraper,20,123,,Row-wise,0,,,,,,32.469,0.948322,
video,skyscraper,20,123,,G1024,1024,,,,,,30.634,0.929092,
video,skyscraper,20,123,,G128,128,,,,,,33.087,0.954434,
video,skyscraper,20,777,,Row-wise,0,,,,,,19.394,0.780326,
video,skyscraper,20,777,,G1024,1024,,,,,,20.646,0.807084,
video,skyscraper,20,777,,G128,128,,,,,,21.102,0.840355,
video,skyscraper,20,2026,,Row-wise,0,,,,,,17.266,0.663633,
video,skyscraper,20,2026,,G1024,1024,,,,,,29.882,0.970902,
video,skyscraper,20,2026,,G128,128,,,,,,19.787,0.791301,
