step,sigma,delta_sigma,dit_out_hash,dit_out_sum,dit_out_sum_abs,dit_out_l2,dit_out_min,dit_out_max,euler_out_hash,euler_out_sum,euler_out_sum_abs,euler_out_l2,euler_out_min,euler_out_max
0,1,0.00436681509,a3476d74670cf022,-9230.75563,310285.587,988.421347,-10.0625,10.1875,351d0a26d36b62d3,-714.013937,136716.696,413.366543,-4.39095116,4.87948322
1,0.995633185,0.00480753183,89f164044f719daf,-24288.3806,250489.858,785.518806,-8.5,8.1875,f032f8f3a8df401e,-830.781089,136066.372,411.399627,-4.36270714,4.8512392
2,0.990825653,0.00531834364,91dc8c81dd14651a,-31483.2803,213077.415,657.517488,-7.71875,6.6875,5b0a15d54e700e04,-998.219994,135347.131,409.226716,-4.32930136,4.81883049
3,0.985507309,0.00591546297,6c3faddfafe2fd5b,-36371.6902,198851.015,612.318222,-8.125,6.53125,11fa6211c7d0679d,-1213.37539,134551.985,406.823529,-4.29750586,4.78111935
4,0.979591846,0.00661885738,a6e45ec58fe37c56,-32236.8359,197457.227,607.727596,-8.125,7.3125,3952397b81310216,-1426.7464,133667.017,404.146882,-4.26130915,4.73913097
5,0.972972989,0.0074557662,21865623ca38418d,-31320.8713,203840.137,624.327601,-8.125,7,53385ca55f6851ee,-1660.26749,132678.95,401.158651,-4.22263241,4.69206667
6,0.965517223,0.00846201181,75e69a32206bf0a1,-30767.438,203357.49,619.294186,-7.53125,6.6875,c076d7ee6b324cb4,-1920.62191,131566.462,397.790666,-4.18111563,4.63785696
7,0.957055211,0.00968682766,75d30016d11ba3af,-22957.5457,200458.305,608.785406,-7.21875,6.6875,bc6e35c071929aec,-2143.00768,130305.154,393.973731,-4.14176273,4.57731438
8,0.947368383,0.011198163,6d7db7a583280ddf,-20960.8913,197625.705,597.54992,-6.40625,6.28125,3351507349434a19,-2377.73116,128870.434,389.63577,-4.09976959,4.50557613
9,0.93617022,0.0130932927,f2c010f06b57ca2e,-26559.7791,192438.779,583.081981,-6.75,5.53125,3289358c35c0b260,-2725.48612,127233.695,384.685239,-4.04371405,4.42333412
10,0.923076928,0.0155139565,9ba8dd5e45d54341,-26949.2176,192067.447,581.815168,-6.59375,5.5,a0d6b450ec79eb52,-3143.5751,125338.292,378.955538,-3.97535563,4.32443285
11,0.907562971,0.0186740756,b048783022cfac4c,-27596.5296,192277.074,582.265204,-6.90625,5.9375,65a735003eca7d64,-3658.91477,123116.168,372.235384,-3.89132237,4.20480204
12,0.888888896,0.0229095221,bc909b5ca1b2f15b,-27495.3141,191941.881,580.749721,-6.8125,5.53125,d1e01bfb6d11753c,-4288.81926,120494.093,364.29581,-3.8302784,4.07375717
13,0.865979373,0.0287700891,45d05c44c8bba80e,-27434.6198,189910.988,574.779363,-6.625,5.53125,ce7e58c2344b3acc,-5078.1157,117375.534,354.82695,-3.75970173,3.95058513
14,0.837209284,0.0372092724,a140dc3b1beb2558,-27187.5287,189169.435,572.403808,-6.28125,5.46875,43dbbbc48b8e6923,-6089.74385,113630.533,343.446502,-3.66958547,3.79244566
15,0.800000012,0.0500000119,7ca6127e09c4ca22,-26989.97,189056.633,572.309009,-6.28125,5.5,a9baf4fcf012b46a,-7439.24267,109149.638,329.844719,-3.69281077,3.58150816
16,0.75,0.0707547069,0664328b8e609a46,-26811.5893,188370.248,570.623575,-6.25,5.46875,c7809416b353c004,-9336.28881,104078.006,314.438713,-3.7323339,3.28522277
17,0.679245293,0.107816696,21827e75787098b1,-26750.1753,187818.598,569.28187,-6.625,5.4375,3f8b8b2bd8016562,-12220.4043,99625.7917,300.88136,-3.79508662,2.95143056
18,0.571428597,0.184331775,8299cc9f36e4bb6d,-26633.2486,186432.753,565.552491,-6.78125,5.5,9ee93a236f860b0a,-17129.7583,101655.372,308.014234,-3.89877319,2.99553347
19,0.387096822,0.387096822,a136f673b55479c3,-26412.235,183827.157,558.364607,-6.21875,5.53125,73844cc46ab59ac3,-27353.8506,137579.564,422.266004,-4.28133392,3.23293281
