step,sigma,delta_sigma,dit_out_hash,dit_out_sum,dit_out_sum_abs,dit_out_l2,dit_out_min,dit_out_max,euler_out_hash,euler_out_sum,euler_out_sum_abs,euler_out_l2,euler_out_min,euler_out_max
0,1,0.00436681509,6802f8998e2a4ffe,-9625.96849,308387.42,978.723236,-9.9375,10,53a5d9ef1ec07f2c,-715.739761,136716.41,413.365653,-4.39136028,4.8796196
1,0.995633185,0.00480753183,5e5ad9fe2c8a1731,-24719.7253,255181.739,801.192017,-8.625,8.1875,9a9a15330c24d2c9,-834.580622,136066.358,411.399393,-4.36281538,4.85167599
2,0.990825653,0.00531834364,77fcbeb96864ac48,-33050.1259,213903.73,660.166118,-7.75,6.6875,9e98bc45c9c9c28b,-1010.35255,135348.07,409.229392,-4.32974195,4.81843615
3,0.985507309,0.00591546297,4485eaa8215d6f4f,-36998.9548,199793.273,614.232837,-8.0625,6.75,75de1de9392591d5,-1229.21849,134553.362,406.826524,-4.29665232,4.78109455
4,0.979591846,0.00661885738,da7edd2a031d34a3,-31768.8751,199653.945,612.558411,-7.96875,7.1875,6844574965a16f04,-1439.49216,133669.46,404.151657,-4.26066208,4.73848581
5,0.972972989,0.0074557662,6b3fe3919d06371d,-30545.9239,204814.211,625.632086,-8,6.84375,72a21b0daffa2b40,-1667.23542,132682.153,401.162235,-4.2212863,4.69142151
6,0.965517223,0.00846201181,769d76205484fcc2,-28550.6366,205440.795,622.335512,-7.3125,6.4375,bf01c6850579f232,-1908.83124,131571.848,397.798125,-4.18188524,4.6372118
7,0.957055211,0.00968682766,c33ee9ea1d21c5f6,-17551.8787,200686.325,607.624167,-6.5625,6.9375,c90496cd4674e312,-2078.85327,130311.462,393.986803,-4.14359188,4.57576084
8,0.947368383,0.011198163,7535fdaeda12ea73,-18266.7589,207741.838,630.228592,-8.5625,7.71875,78432a8de3ca87c4,-2283.40742,128885.555,389.674166,-4.10422325,4.5033226
9,0.93617022,0.0130932927,6d3e2ead26f33263,-24681.2494,198916.867,600.861584,-6.90625,6.65625,f8c9ffbc66fca81d,-2606.56624,127257.808,384.745232,-4.06937408,4.41985273
10,0.923076928,0.0155139565,dd3e1762067a59f0,-25574.2564,194933.666,587.939629,-6.1875,5.96875,5af53b4d6047d3de,-3003.32415,125372.86,379.041715,-4.05561733,4.32386017
11,0.907562971,0.0186740756,120a99431b2e3a78,-25227.3425,193366.08,582.985456,-6.1875,5.6875,f20bdc8c2eefc550,-3474.42147,123168.973,372.368701,-4.03621387,4.20831442
12,0.888888896,0.0229095221,5682d43c17bcdaf7,-25237.9807,192704.448,581.097394,-6.125,5.78125,249b70762e0cf106,-4052.61154,120564.666,364.474219,-4.00883007,4.06799364
13,0.865979373,0.0287700891,65a1a5b5b1fca41c,-25345.6657,191783.779,578.187292,-6.125,5.6875,695c82075cbac9a3,-4781.80861,117466.267,355.071133,-3.96837211,3.9040463
14,0.837209284,0.0372092724,5ea7d53815b8afed,-24950.3946,190965.487,575.87166,-6.09375,5.6875,dea224195c193aa0,-5710.19462,113753.833,343.785101,-3.92360473,3.72846508
15,0.800000012,0.0500000119,8a9dc2ea1762d59e,-25057.3225,190688.2,575.234485,-6.09375,5.8125,f6252f3c319472c3,-6963.06105,109340.173,330.338136,-3.81579208,3.49565244
16,0.75,0.0707547069,bfd0934691e48467,-24816.3996,190278.162,574.181208,-6.125,5.71875,58721aa9cbbf6363,-8718.93812,104416.166,315.257027,-3.70026302,3.21756911
17,0.679245293,0.107816696,a29ff49f84665ba8,-24448.4425,189339.358,571.517888,-6.125,5.5625,f3abcf8573c60954,-11354.8884,100238.622,302.229451,-3.60199261,3.04742098
18,0.571428597,0.184331775,041ed50ef274dfb6,-24242.0637,187982.04,567.879794,-6.25,5.5,acf53c8f4dc5d391,-15823.4711,103173.503,310.406728,-3.61319828,2.90414834
19,0.387096822,0.387096822,4edfd4f0a86cb321,-24201.5529,185319.309,560.67886,-6.0625,5.5,91fee3f77d50333d,-25191.8153,141149.628,426.539841,-4.10999632,3.87189031
